channel_variant,arch,snr_db,ber,n_errors,n_symbols,ber_ci_lo,ber_ci_hi,mse_tau,corr_tau,mse_fd,corr_fd
b_tdl_a,mc_dlsk,15.0,0.16341,16341,100000,0.16113131101173003,0.16571454792739862,106.83749898012651,0.0002119485072457537,5.386223188588242e-10,-0.003868317347536766
b_tdl_a,mc_dlsk,17.0,0.16302,16302,100000,0.16074352864855482,0.16532236025280164,109.86343436516204,-0.0060251476683316025,5.354219456867639e-10,0.002699794840967434
b_tdl_a,mc_dlsk,19.0,0.16378,16378,100000,0.16149921140972587,0.1660866191036995,111.0437683440922,-0.001427979575091602,5.380202763513796e-10,0.0003105335819922526
b_tdl_a,mc_dlsk,21.0,0.16207,16207,100000,0.15979895017780582,0.16436701170846452,109.91192258993198,0.006017862420317386,5.348564327943322e-10,0.00016027547075279466
c_two_ray_jakes,mc_dlsk,-5.0,0.15383,15383,100000,0.15160716894813506,0.15607942598623067,99.18945672345636,0.003349027404739625,5.457438430142269e-10,-0.001136437891764423
c_two_ray_jakes,mc_dlsk,-3.0,0.0868,8680,100000,0.085070851813223,0.08856089278301564,101.71717033922086,0.0031098219292067515,5.321694141247855e-10,0.001841780856814824
c_two_ray_jakes,mc_dlsk,-1.0,0.05534,5534,100000,0.053939888957462705,0.056774272591819656,101.98408685115386,0.005063307027782977,5.367224374465032e-10,-0.00043890424358029466
c_two_ray_jakes,mc_dlsk,1.0,0.04334,4334,100000,0.04209540920068794,0.04461967426329641,104.67429628985735,0.003514334192051998,5.287872409156059e-10,0.003965547194730017
c_two_ray_jakes,mc_dlsk,3.0,0.03872,3872,100000,0.03754185997982924,0.03993357842131537,104.62779607930004,0.0013918513095632905,5.294412143614492e-10,-0.009129795699455536
c_two_ray_jakes,mc_dlsk,5.0,0.03662,3662,100000,0.035473543840921495,0.03780205589529596,105.18079752015417,0.005033875717630135,5.383137469452376e-10,-0.00011159503793204266
c_two_ray_jakes,mc_dlsk,7.0,0.03582,3582,100000,0.034685880591689866,0.03698978060550773,104.7399389915246,-0.0006162192928919833,5.292201593819063e-10,-0.002870210442831511
c_two_ray_jakes,mc_dlsk,9.0,0.0345,3450,100000,0.03338657634153328,0.035649186266281545,106.14580504037374,-0.0015686479207400524,5.361400179120705e-10,-0.0011135083707943208
c_two_ray_jakes,mc_dlsk,11.0,0.03324,3324,100000,0.032146745299994235,0.03436911410886429,104.45531806461163,0.0016184385126796772,5.311961781704121e-10,0.00546732926452524
c_two_ray_jakes,mc_dlsk,13.0,0.03237,3237,100000,0.03129091926893219,0.03348500697874223,105.70338437699232,-0.0005187272379059948,5.323568319196606e-10,-0.0026021850220190783
c_two_ray_jakes,mc_dlsk,15.0,0.03204,3204,100000,0.030966350484299108,0.03314960111602962,105.43396165184396,0.0030790690507014012,5.304191050315527e-10,0.0023767329899461263
c_two_ray_jakes,mc_dlsk,17.0,0.03347,3347,100000,0.032373032491187524,0.034602809247639206,109.61739791802444,-0.0034331342095573186,5.331473637298134e-10,-0.0016309605508374714
c_two_ray_jakes,mc_dlsk,19.0,0.0326,3260,100000,0.031517151896397755,0.03371875668124487,109.53182630746186,-0.0011577992221214859,5.377226319109731e-10,-0.004012123173725102
c_two_ray_jakes,mc_dlsk,21.0,0.03292,3292,100000,0.03183193463803125,0.03404394935521932,109.30936310547887,0.0042915694255003444,5.36711395940489e-10,0.0006854370940107838
